Site #,Site Status,Site Activation Date,State,Country
43914,Enrolling,28-Mar-2017,LA,USA
43912,Enrolling,21-Feb-2017,OH,USA
43912,Enrolling,21-Feb-2017,OH,USA
43912,Enrolling,21-Feb-2017,OH,USA
43912,Enrolling,21-Feb-2017,OH,USA
43912,Enrolling,21-Feb-2017,OH,USA
43912,Enrolling,21-Feb-2017,OH,USA
43909,Enrolling,12-Apr-2017,CA,USA
43909,Enrolling,12-Apr-2017,CA,USA
43909,Enrolling,12-Apr-2017,CA,USA
43909,Enrolling,12-Apr-2017,CA,USA
43908,Initiated,19-Jul-2017,NC,USA
43908,Initiated,19-Jul-2017,NC,USA
43908,Initiated,19-Jul-2017,NC,USA
43908,Initiated,19-Jul-2017,NC,USA
43908,Initiated,19-Jul-2017,NC,USA
43908,Initiated,19-Jul-2017,NC,USA
43908,Initiated,19-Jul-2017,NC,USA
43908,Initiated,19-Jul-2017,NC,USA
43908,Initiated,19-Jul-2017,NC,USA
43908,Initiated,19-Jul-2017,NC,USA
43907,Enrolling,20-Apr-2017,KY,USA
43907,Enrolling,20-Apr-2017,KY,USA
43907,Enrolling,20-Apr-2017,KY,USA
43906,Initiated,30-May-2017,RI,USA
43906,Initiated,30-May-2017,RI,USA
43906,Initiated,30-May-2017,RI,USA
43906,Initiated,30-May-2017,RI,USA
43905,Initiated,13-Jul-2017,MO,USA
43905,Initiated,13-Jul-2017,MO,USA
43905,Initiated,13-Jul-2017,MO,USA
43905,Initiated,13-Jul-2017,MO,USA
43904,Initiated,12-Feb-2017,CA,USA
43904,Initiated,12-Feb-2017,CA,USA
43902,Initiated,10-Apr-2017,FL,USA
43902,Initiated,10-Apr-2017,FL,USA
43902,Initiated,10-Apr-2017,FL,USA
43902,Initiated,10-Apr-2017,FL,USA
43901,Enrolling,04-Jan-2017,IN,USA
43901,Enrolling,04-Jan-2017,IN,USA
43901,Enrolling,04-Jan-2017,IN,USA
43900,Enrolling,09-Apr-2017,KS,USA
43900,Enrolling,09-Apr-2017,KS,USA
43900,Enrolling,09-Apr-2017,KS,USA
43900,Enrolling,09-Apr-2017,KS,USA
43900,Enrolling,09-Apr-2017,KS,USA
43899,Enrolling,23-Feb-2017,NC,USA
43899,Enrolling,23-Feb-2017,NC,USA
43899,Enrolling,23-Feb-2017,NC,USA
43899,Enrolling,23-Feb-2017,NC,USA
43898,Selected,,MA,USA
43898,Selected,,MA,USA
43898,Selected,,MA,USA
43898,Selected,,MA,USA
43896,Selected,,AZ,USA
43896,Selected,,AZ,USA
43896,Selected,,AZ,USA
43896,Selected,,AZ,USA
43896,Selected,,AZ,USA
43896,Selected,,AZ,USA
43895,Initiated,18-Jun-2017,FL,USA
43895,Initiated,18-Jun-2017,FL,USA
43895,Initiated,18-Jun-2017,FL,USA
43895,Initiated,18-Jun-2017,FL,USA
43894,Initiated,05-Apr-2017,NC,USA
43894,Initiated,05-Apr-2017,NC,USA
43894,Initiated,05-Apr-2017,NC,USA
43893,Initiated,02-Aug-2017,UT,USA
43893,Initiated,02-Aug-2017,UT,USA
43893,Initiated,02-Aug-2017,UT,USA
43893,Initiated,02-Aug-2017,UT,USA
43892,Selected,,TX,USA
43892,Selected,,TX,USA
43892,Selected,,TX,USA
43890,Initiated,20-Jun-2017,KY,USA
43890,Initiated,20-Jun-2017,KY,USA
43890,Initiated,20-Jun-2017,KY,USA
43890,Initiated,20-Jun-2017,KY,USA
43889,Selected,,TN,USA
43889,Selected,,TN,USA
43889,Selected,,TN,USA
43889,Selected,,TN,USA
43888,Enrolling,23-Mar-2017,OH,USA
43888,Enrolling,23-Mar-2017,OH,USA
43888,Enrolling,23-Mar-2017,OH,USA
43888,Enrolling,23-Mar-2017,OH,USA
43885,Enrolling,07-Feb-2017,OK,USA
43885,Enrolling,07-Feb-2017,OK,USA
43885,Enrolling,07-Feb-2017,OK,USA
43884,Enrolling,08-Feb-2017,TX,USA
43884,Enrolling,08-Feb-2017,TX,USA
43884,Enrolling,08-Feb-2017,TX,USA
43884,Enrolling,08-Feb-2017,TX,USA
43881,Enrolling,15-Mar-2017,FL,USA
43881,Enrolling,15-Mar-2017,FL,USA
43881,Enrolling,15-Mar-2017,FL,USA
43881,Enrolling,15-Mar-2017,FL,USA
43880,Initiated,18-Jun-2017,TX,USA
43880,Initiated,18-Jun-2017,TX,USA
43880,Initiated,18-Jun-2017,TX,USA
43879,Selected,,CO,USA
43879,Selected,,CO,USA
43879,Selected,,CO,USA
43879,Selected,,CO,USA
43878,Enrolling,12-Dec-2016,NJ,USA
43878,Enrolling,12-Dec-2016,NJ,USA
43878,Enrolling,12-Dec-2016,NJ,USA
43878,Enrolling,12-Dec-2016,NJ,USA
43878,Enrolling,12-Dec-2016,NJ,USA
43878,Enrolling,12-Dec-2016,NJ,USA
43877,Initiated,06-Jul-2017,AR,USA
43877,Initiated,06-Jul-2017,AR,USA
43877,Initiated,06-Jul-2017,AR,USA
43877,Initiated,06-Jul-2017,AR,USA
43876,Initiated,31-Jul-2017,MD,USA
43876,Initiated,31-Jul-2017,MD,USA
43876,Initiated,31-Jul-2017,MD,USA
43876,Initiated,31-Jul-2017,MD,USA
43876,Initiated,31-Jul-2017,MD,USA
43875,Initiated,30-May-2017,CO,USA
43875,Initiated,30-May-2017,CO,USA
